Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
1.0,Sat,2021-08-21,18:30,Inter,1.6,4–0,1.1,Genoa,27402.0,Stadio Giuseppe Meazza,Valerio Marini,Match Report,,22,I1
1.0,Sat,2021-08-21,18:30,Hellas Verona,2.4,2–3,1.6,Sassuolo,5448.0,Stadio Marc'Antonio Bentegodi,Manuel Volpi,Match Report,,22,I1
1.0,Sat,2021-08-21,20:45,Torino,1.3,1–2,0.7,Atalanta,3475.0,Stadio Olimpico di Torino,Daniele Chiffi,Match Report,,22,I1
1.0,Sat,2021-08-21,20:45,Empoli,1.2,1–3,1.5,Lazio,3655.0,Stadio Carlo Castellani,Simone Sozza,Match Report,,22,I1
1.0,Sun,2021-08-22,18:30,Bologna,1.6,3–2,1.5,Salernitana,8375.0,Stadio Renato Dall'Ara,Antonio Rapuano,Match Report,,22,I1
1.0,Sun,2021-08-22,18:30,Udinese,1.6,2–2,0.8,Juventus,9660.0,Dacia Arena,Ivan Pezzuto,Match Report,,22,I1
1.0,Sun,2021-08-22,20:45,Napoli,2.2,2–0,0.6,Venezia,20000.0,Stadio Diego Armando Maradona,Gianluca Aureliano,Match Report,,22,I1
1.0,Sun,2021-08-22,20:45,Roma,2.7,3–1,1.3,Fiorentina,26997.0,Stadio Olimpico,Luca Pairetto,Match Report,,22,I1
1.0,Mon,2021-08-23,18:30,Cagliari,2.8,2–2,0.8,Spezia,5387.0,Unipol Domus,Francesco Fourneau,Match Report,,22,I1
1.0,Mon,2021-08-23,20:45,Sampdoria,1.1,0–1,0.9,Milan,5000.0,Stadio Comunale Luigi Ferraris,Marco Guida,Match Report,,22,I1
,,,,,,,,,,,,,,22,I1
2.0,Fri,2021-08-27,18:30,Udinese,2.2,3–0,1.2,Venezia,8274.0,Dacia Arena,Livio Marinelli,Match Report,,22,I1
2.0,Fri,2021-08-27,20:45,Hellas Verona,1.0,1–3,1.5,Inter,11214.0,Stadio Marc'Antonio Bentegodi,Gianluca Manganiello,Match Report,,22,I1
2.0,Sat,2021-08-28,18:30,Atalanta,0.9,0–0,0.3,Bologna,7912.0,Stadio Atleti Azzurri d'Italia,Daniele Orsato,Match Report,,22,I1
2.0,Sat,2021-08-28,18:30,Lazio,3.0,6–1,1.0,Spezia,20000.0,Stadio Olimpico,Federico Dionisi,Match Report,,22,I1
2.0,Sat,2021-08-28,20:45,Fiorentina,0.8,2–1,0.4,Torino,12592.0,Stadio Artemio Franchi,Maurizio Mariani,Match Report,,22,I1
2.0,Sat,2021-08-28,20:45,Juventus,1.2,0–1,0.7,Empoli,17584.0,Allianz Stadium,Davide Ghersini,Match Report,,22,I1
2.0,Sun,2021-08-29,18:30,Sassuolo,1.6,0–0,0.5,Sampdoria,3309.0,Mapei Stadium - Città del Tricolore,Juan Sacchi,Match Report,,22,I1
2.0,Sun,2021-08-29,18:30,Genoa,0.4,1–2,1.1,Napoli,20000.0,Stadio Comunale Luigi Ferraris,Marco Di Bello,Match Report,,22,I1
2.0,Sun,2021-08-29,20:45,Milan,2.7,4–1,0.6,Cagliari,31946.0,Stadio Giuseppe Meazza,Marco Serra,Match Report,,22,I1
